afblomstre		vb.	11000306	-1	afblomstr;afblomstre;afblomstrede;afblomstrende;afblomstrer;afblomstres;afblomstret
afblomstring		sb.	40000098	-1	afblomstring;afblomstringen;afblomstringens;afblomstrings
afblæse		vb.	11000307	-1	afblæs;afblæse;afblæsende;afblæser;afblæses;afblæst;afblæste;afblæstes;afblæsts
afblæsning		sb.	40000099	-1	afblæsning;afblæsningen;afblæsningens;afblæsninger;afblæsningerne;afblæsningernes;afblæsningers;afblæsnings
afbryde		vb.	11000308	-2	afbrudt;afbrudts;afbryd;afbryde;afbrydende;afbryder;afbrydes;afbrød
afbrydelse		sb.	11000309	-2	afbrydelse;afbrydelsen;afbrydelsens;afbrydelser;afbrydelserne;afbrydelsernes;afbrydelsers;afbrydelses
afbræk		sb.	11000311	1	afbræk;afbrækkene;afbrækkenes;afbrækket;afbrækkets;afbræks
afbrænder		sb.	11000314	-2	afbrænder;afbrændere;afbrænderen;afbrænderens;afbrænderes;afbrænderne;afbrændernes;afbrænders
afbud		sb.	11000315	-1	afbud;afbuddene;afbuddenes;afbuddet;afbuddets;afbuds
afbøde		vb.	11000318	1	afbød;afbøde;afbødede;afbødende;afbøder;afbødes;afbødet
afbødning		sb.	40000105	1	afbødning;afbødningen;afbødningens;afbødnings
afdramatisere		vb.	11000333	1	afdramatiser;afdramatisere;afdramatiserede;afdramatiserende;afdramatiserer;afdramatiseres;afdramatiseret
afdramatisering		sb.	40000115	1	afdramatisering;afdramatiseringen;afdramatiseringens;afdramatiserings
afdæmpe		vb.	11000340	1	afdæmp;afdæmpe;afdæmpede;afdæmpende;afdæmper;afdæmpes;afdæmpet
affabel		adj.	11000344	1	affabel;affabelt;affabelts;affable;affables
affald		sb.	11000345	-1	affald;affaldet;affaldets;affalds
affaldsproblem		sb.	40000124	-2	affaldsproblem;affaldsproblemer;affaldsproblemerne;affaldsproblemernes;affaldsproblemers;affaldsproblemet;affaldsproblemets;affaldsproblems
affaldsstof		sb.	11000360	-1	affaldsstof;affaldsstoffer;affaldsstofferne;affaldsstoffernes;affaldsstoffers;affaldsstoffet;affaldsstoffets;affaldsstofs
affeje		vb.	11000368	-2	affej;affeje;affejede;affejende;affejer;affejes;affejet
affejning		sb.	40000130	-2	affejning;affejningen;affejningens;affejninger;affejningerne;affejningernes;affejningers;affejnings
affektation		sb.	11000370	-1	affektation;affektationen;affektationens;affektations
affekteret		adj.	11000371	-1	affekterede;affekteredes;affekteret;affekterets
affektion		sb.	11000372	1	affektion;affektionen;affektionens;affektioner;affektionerne;affektionernes;affektioners;affektions
affektionsværdi		sb.	11000373	1	affektionsværdi;affektionsværdien;affektionsværdiens;affektionsværdier;affektionsværdierne;affektionsværdiernes;affektionsværdiers;affektionsværdis
affektlabil		adj.	11000375	-2	affektlabil;affektlabile;affektlabiles;affektlabilt;affektlabilts
afficere		vb.	11000376	1	afficer;afficere;afficerede;afficerende;afficerer;afficeres;afficeret
affirmation		sb.	41001372	1	affirmation;affirmationen;affirmationens;affirmationer;affirmationerne;affirmationernes;affirmationers;affirmations
affældig		adj.	11000392	-2	affældig;affældige;affældiges;affældigt;affældigts
affærdige		vb.	11000393	-2	affærdig;affærdige;affærdigede;affærdigende;affærdiger;affærdiges;affærdiget
affærdigelse		sb.	40000139	-2	affærdigelse;affærdigelsen;affærdigelsens;affærdigelser;affærdigelserne;affærdigelsernes;affærdigelsers;affærdigelses
affære		sb.	11000394	-1	affære;affæren;affærens;affærer;affærerne;affærernes;affærers;affæres
afgift		sb.	11000413	-1	afgift;afgiften;afgiftens;afgifter;afgifterne;afgifternes;afgifters;afgifts
afgjort		adj.	11000425	1	afgjort;afgjorte;afgjortes;afgjorts
afgrund		sb.	11000431	-2	afgrund;afgrunde;afgrunden;afgrundene;afgrundenes;afgrundens;afgrundes;afgrunds
afgrundsdyb		adj.	11000432	-2	afgrundsdyb;afgrundsdybe;afgrundsdybes;afgrundsdybt;afgrundsdybts
afgrænsningsproblem		sb.	40000156	-1	afgrænsningsproblem;afgrænsningsproblemer;afgrænsningsproblemerne;afgrænsningsproblemernes;afgrænsningsproblemers;afgrænsningsproblemet;afgrænsningsproblemets;afgrænsningsproblems
afgud		sb.	11000437	-1	afgud;afguden;afgudens;afguder;afguderne;afgudernes;afguders;afguds
afguderi		sb.	11000438	-2	afguderi;afguderiet;afguderiets;afguderis
afgudsdyrkelse		sb.	11000439	-1	afgudsdyrkelse;afgudsdyrkelsen;afgudsdyrkelsens;afgudsdyrkelses
afgudsdyrker		sb.	40000160	-2	afgudsdyrker;afgudsdyrkere;afgudsdyrkeren;afgudsdyrkerens;afgudsdyrkeres;afgudsdyrkerne;afgudsdyrkernes;afgudsdyrkers
afgørende		adj.	11000442	1	afgørende;afgørendes
afhjemle		vb.	11000448	1	afhjeml;afhjemle;afhjemlede;afhjemlende;afhjemler;afhjemles;afhjemlet
afhjælpe		vb.	11000449	2	afhjalp;afhjulpen;afhjulpens;afhjulpet;afhjulpets;afhjulpne;afhjulpnes;afhjælp;afhjælpe;afhjælpende;afhjælper;afhjælpes
afhjælpning		sb.	40000164	2	afhjælpning;afhjælpningen;afhjælpningens;afhjælpninger;afhjælpningerne;afhjælpningernes;afhjælpningers;afhjælpnings
afholdt		adj.	11000459	3	afholdt;afholdte;afholdtes;afholdts
afhængig		adj.	11000465	-1	afhængig;afhængige;afhængiges;afhængigt;afhængigts
afhængighed		sb.	11000466	-1	afhængighed;afhængigheden;afhængighedens;afhængigheder;afhængighederne;afhængighedernes;afhængigheders;afhængigheds
aficionado		sb.	11000474	2	aficionado;aficionadoen;aficionadoens;aficionadoer;aficionadoerne;aficionadoernes;aficionadoers;aficionados
afkaste		vb.	11000482	1	afkast;afkaste;afkastede;afkastende;afkaster;afkastes;afkastet
afklapse		vb.	11000484	-2	afklaps;afklapse;afklapsede;afklapsende;afklapser;afklapses;afklapset
afklapsning		sb.	11000485	-2	afklapsning;afklapsningen;afklapsningens;afklapsninger;afklapsningerne;afklapsningernes;afklapsningers;afklapsnings
afklare		vb.	11000486	1	afklar;afklare;afklarede;afklarende;afklarer;afklares;afklaret
afklaret		adj.	11000487	1	afklarede;afklaredes;afklaret;afklarets
afklarethed		sb.	40000180	2	afklarethed;afklaretheden;afklarethedens;afklaretheds
afklaring		sb.	11000488	2	afklaring;afklaringen;afklaringens;afklaringer;afklaringerne;afklaringernes;afklaringers;afklarings
afklædning		sb.	11000491	-2	afklædning;afklædningen;afklædningens;afklædninger;afklædningerne;afklædningernes;afklædningers;afklædnings
afkræfte		vb.	11000506	-1	afkræft;afkræfte;afkræftede;afkræftende;afkræfter;afkræftes;afkræftet
afkræftelse		sb.	40000188	-1	afkræftelse;afkræftelsen;afkræftelsens;afkræftelser;afkræftelserne;afkræftelsernes;afkræftelsers;afkræftelses
afkræve		vb.	11000507	-1	afkræv;afkræve;afkrævede;afkrævende;afkræver;afkræves;afkrævet
afkøling		sb.	40000189	-1	afkøling;afkølingen;afkølingens;afkølinger;afkølingerne;afkølingernes;afkølingers;afkølings
aflad		sb.	11000512	1	aflad;afladen;afladens;aflads
aflade		vb.	11000513	1	aflad;aflade;afladede;afladende;aflader;aflades;afladet
afladning		sb.	40000190	1	afladning;afladningen;afladningens;afladninger;afladningerne;afladningernes;afladningers;afladnings
aflagt		adj.	11000516	-1	aflagt;aflagte;aflagtes;aflagts
aflaste		vb.	11000518	1	aflast;aflaste;aflastede;aflastende;aflaster;aflastes;aflastet
aflastning		sb.	11000519	1	aflastning;aflastningen;aflastningens;aflastninger;aflastningerne;aflastningernes;aflastningers;aflastnings
afledningsmanøvre		sb.	11000525	-1	afledningsmanøvre;afledningsmanøvren;afledningsmanøvrens;afledningsmanøvrer;afledningsmanøvrerne;afledningsmanøvrernes;afledningsmanøvrers;afledningsmanøvres
aflive		vb.	11000532	-1	afliv;aflive;aflivede;aflivende;afliver;aflives;aflivet
aflivning		sb.	40000196	-1	aflivning;aflivningen;aflivningens;aflivninger;aflivningerne;aflivningernes;aflivningers;aflivnings
aflure		vb.	11000537	-2	aflur;aflure;aflurede;aflurende;aflurer;aflures;afluret
afluring		sb.	40000198	-2	afluring;afluringen;afluringens;afluringer;afluringerne;afluringernes;afluringers;aflurings
aflyse		vb.	11000540	-2	aflys;aflyse;aflysende;aflyser;aflyses;aflyst;aflyste;aflystes;aflysts
aflysning		sb.	11000541	-2	aflysning;aflysningen;aflysningens;aflysninger;aflysningerne;aflysningernes;aflysningers;aflysnings
aflytning		sb.	11000542	-1	aflytning;aflytningen;aflytningens;aflytninger;aflytningerne;aflytningernes;aflytningers;aflytnings
aflytte		vb.	11000543	-1	aflyt;aflytte;aflyttede;aflyttende;aflytter;aflyttes;aflyttet
aflægs		adj.	11000548	-1	aflægs
afmagt		sb.	11000573	-2	afmagt;afmagten;afmagtens;afmagts
afmagtsfølelse		sb.	40000211	-1	afmagtsfølelse;afmagtsfølelsen;afmagtsfølelsens;afmagtsfølelser;afmagtsfølelserne;afmagtsfølelsernes;afmagtsfølelsers;afmagtsfølelses
afmatning		sb.	11000578	-2	afmatning;afmatningen;afmatningens;afmatninger;afmatningerne;afmatningernes;afmatningers;afmatnings
afmålt		adj.	11000591	-1	afmålt;afmålte;afmåltes;afmålts
afmægtighed		sb.	11000586	-2	afmægtighed;afmægtigheden;afmægtighedens;afmægtigheds
afpasning		sb.	40000218	1	afpasning;afpasningen;afpasningens;afpasnings
afpasse		vb.	11000596	1	afpas;afpasse;afpassede;afpassende;afpasser;afpasses;afpasset
afpillet		adj.	11000600	-2	afpillede;afpilledes;afpillet;afpillets
afpresning		sb.	11000602	-2	afpresning;afpresningen;afpresningens;afpresninger;afpresningerne;afpresningernes;afpresningers;afpresnings
afpresningsforsøg		sb.	40000219	-2	afpresningsforsøg;afpresningsforsøgene;afpresningsforsøgenes;afpresningsforsøget;afpresningsforsøgets;afpresningsforsøgs
afpresse		vb.	11000603	-2	afpres;afpresse;afpressede;afpressende;afpresser;afpresses;afpresset
afpresser		sb.	40000220	-2	afpresser;afpressere;afpresseren;afpresserens;afpresseres;afpresserne;afpressernes;afpressers
afrakket		adj.	11000611	-2	afrakkede;afrakkedes;afrakket;afrakkets
afrundet		adj.	11000637	1	afrundede;afrundedes;afrundet;afrundets
afrunding		sb.	11000638	1	afrunding;afrundingen;afrundingens;afrundinger;afrundingerne;afrundingernes;afrundingers;afrundings
afsavn		sb.	11000649	-2	afsavn;afsavnene;afsavnenes;afsavnet;afsavnets;afsavns
afsikre		vb.	11000661	1	afsikr;afsikre;afsikrede;afsikrende;afsikrer;afsikres;afsikret
afsindig		adj.	11000663	-2	afsindig;afsindige;afsindiges;afsindigs;afsindigt;afsindigts
afsindighed		sb.	51003289	-2	afsindighed;afsindigheden;afsindighedens;afsindigheder;afsindighederne;afsindighedernes;afsindigheders;afsindigheds
afskaffe		vb.	11000665	-1	afskaf;afskaffe;afskaffede;afskaffende;afskaffer;afskaffes;afskaffet
afskaffelse		sb.	11000666	-1	afskaffelse;afskaffelsen;afskaffelsens;afskaffelser;afskaffelserne;afskaffelsernes;afskaffelsers;afskaffelses
afskedige		vb.	11000672	-1	afskedig;afskedige;afskedigede;afskedigende;afskediger;afskediges;afskediget
afskedskys		sb.	50000079	2	afskedskys;afskedskys';afskedskyssene;afskedskyssenes;afskedskysset;afskedskyssets
afskedssalut		sb.	40000224	-2	afskedssalut;afskedssaluts;afskedssalutten;afskedssaluttens;afskedssalutter;afskedssalutterne;afskedssalutternes;afskedssalutters
afskrive		vb.	11000686	-1	afskrev;afskreven;afskrevens;afskrevet;afskrevets;afskrevne;afskrevnes;afskriv;afskrive;afskrivende;afskriver;afskrives
afskrivning		sb.	11000687	-1	afskrivning;afskrivningen;afskrivningens;afskrivninger;afskrivningerne;afskrivningernes;afskrivningers;afskrivnings
afskrække		vb.	11000688	-2	afskræk;afskrække;afskrækkede;afskrækkende;afskrækker;afskrækkes;afskrækket
afskrækkelsesmiddel		sb.	53201252	-2	afskrækkelsesmiddel;afskrækkelsesmiddels;afskrækkelsesmidler;afskrækkelsesmidlerne;afskrækkelsesmidlernes;afskrækkelsesmidlers;afskrækkelsesmidlet;afskrækkelsesmidlets
afskrækkelsesvåben		sb.	53005670	-1	afskrækkelsesvåben;afskrækkelsesvåbenet;afskrækkelsesvåbenets;afskrækkelsesvåbens;afskrækkelsesvåbnene;afskrækkelsesvåbnenes;afskrækkelsesvåbnet;afskrækkelsesvåbnets
afskum		sb.	11000691	-3	afskum;afskummene;afskummenes;afskummet;afskummets;afskums
afsky	1	sb.	11000693	-3	afsky;afskyen;afskyens;afskys
afsky	2	vb.	11000694	-3	afsky;afskyede;afskyende;afskyer;afskyes;afskyet;afskyr;afskys
afskyelig		adj.	11000697	-3	afskyelig;afskyelige;afskyeligere;afskyeligeres;afskyeliges;afskyeligst;afskyeligste;afskyeligstes;afskyeligsts;afskyeligs;afskyeligt;afskyeligts
afskyelighed		sb.	51003296	-3	afskyelighed;afskyeligheden;afskyelighedens;afskyeligheder;afskyelighederne;afskyelighedernes;afskyeligheders;afskyeligheds
afskyvækkende		adj.	53201253	-3	afskyvækkende;afskyvækkendes
afslag		sb.	11000706	-2	afslag;afslagene;afslagenes;afslaget;afslagets;afslags
afslappende		adj.	11000710	2	afslappende;afslappendes
afslappet		adj.	11000711	2	afslappede;afslappedes;afslappet;afslappets
afslå		vb.	11000722	-2	afslog;afslå;afslående;afslået;afslår
afsløre		vb.	11000720	-1	afslør;afsløre;afslørede;afslørende;afslører;afsløres;afsløret
